carat,cut,color,clarity,depth,table,price,x,y,z
0.900,1.000,3.000,2.000,65.000,61.000,2883.000,6.010,5.960,3.890
0.710,5.000,4.000,6.000,61.500,57.000,2893.000,5.730,5.750,3.530
0.720,2.000,5.000,5.000,59.400,61.000,2897.000,5.820,5.890,3.480
0.730,5.000,5.000,4.000,62.700,58.000,2939.000,5.720,5.770,3.600
0.760,5.000,2.000,8.000,61.600,55.000,2988.000,5.920,5.890,3.640
0.820,5.000,6.000,2.000,62.200,57.000,3012.000,6.000,5.970,3.720
0.810,4.000,5.000,3.000,61.900,59.000,3043.000,5.970,5.950,3.690
0.710,1.000,4.000,7.000,62.800,57.000,3062.000,5.670,5.570,3.530
0.900,3.000,4.000,2.000,60.100,60.000,3114.000,6.220,6.320,3.770
1.160,1.000,3.000,2.000,68.200,55.000,3118.000,6.470,6.370,4.380
0.710,4.000,7.000,4.000,59.200,59.000,3161.000,5.860,5.800,3.450
0.870,1.000,2.000,4.000,57.300,59.000,3166.000,6.290,6.440,3.650
0.730,5.000,7.000,3.000,61.900,56.000,3189.000,5.800,5.770,3.580
0.910,2.000,1.000,5.000,64.200,60.000,3210.000,6.010,5.950,3.840
0.730,5.000,5.000,3.000,61.700,55.000,3249.000,5.790,5.820,3.580
0.720,5.000,3.000,5.000,60.700,55.000,3274.000,5.830,5.850,3.540
0.860,5.000,7.000,2.000,60.200,56.000,3284.000,6.160,6.190,3.720
1.040,2.000,1.000,4.000,58.200,64.000,3285.000,6.640,6.530,3.850
0.930,4.000,5.000,2.000,60.000,60.000,3333.000,6.360,6.310,3.800
1.040,4.000,6.000,2.000,61.600,59.000,3392.000,6.510,6.470,4.000
0.770,2.000,5.000,5.000,59.300,56.000,3393.000,5.980,6.030,3.560
1.010,4.000,1.000,2.000,63.000,60.000,3421.000,6.380,6.310,4.000
0.700,3.000,6.000,6.000,61.500,58.000,3429.000,5.670,5.710,3.500
0.900,4.000,5.000,3.000,62.600,62.000,3437.000,6.130,6.110,3.830
0.820,3.000,4.000,5.000,63.300,56.000,3460.000,5.960,5.980,3.780
1.000,1.000,3.000,2.000,66.100,59.000,3472.000,6.180,6.130,4.070
0.720,5.000,4.000,5.000,61.700,56.000,3478.000,5.750,5.780,3.560
0.700,3.000,7.000,5.000,61.200,56.000,3567.000,5.680,5.750,3.500
0.710,5.000,7.000,5.000,60.400,60.000,3576.000,5.770,5.820,3.500
0.790,4.000,6.000,5.000,62.600,56.000,3583.000,5.920,5.870,3.690
1.050,4.000,1.000,4.000,59.400,62.000,3593.000,6.660,6.580,3.930
0.710,4.000,7.000,6.000,60.000,58.000,3618.000,5.920,5.840,3.530
0.700,3.000,5.000,7.000,63.100,58.000,3622.000,5.600,5.660,3.550
1.100,5.000,5.000,1.000,61.300,56.900,3623.000,6.620,6.680,4.080
1.000,4.000,7.000,2.000,62.000,60.000,3634.000,6.380,6.300,3.930
0.900,4.000,3.000,3.000,62.000,62.000,3679.000,6.130,6.030,3.770
0.750,5.000,7.000,3.000,61.100,56.000,3712.000,5.850,5.900,3.590
